National Center for Education Statistics
"Graduation rate within 150% of normal time for bachelor's or equivalent degree-seeking undergraduate students who received a bachelor?s or equivalent degree at 4-year postsecondary institutions., by race/ethnicity and  sector of institution: 2012"

,"Public, 4-year or above","Private not-for-profit, 4-year or above","Private for-profit, 4-year or above"
American Indian or Alaska Native,39.5%,48.4%,14.6%
Asian or Pacific Islander,N/A,N/A,N/A
Asian,73.7%,80.8%,46.6%
Native Hawaiian or Other Pacific Islander,51.7%,52.5%,16.2%
Black or African American,42.8%,44.8%,17.7%
Hispanic or Latino,55.6%,63%,27.6%
White,64.3%,70.6%,27.1%
Two or more races,56%,65.4%,25.8%
Race/ethnicity unknown,60.2%,60.2%,22.3%
Nonresident alien,69.7%,74.5%,53.1%

"The Asian, Native Hawaiian or Other Pacific Islander and the two or more race/ethnicity categories were optional for cohort years 2002 through 2004, and became mandatory for cohort year 2005. The race/ethnicity titles reflect the new race/ethnicity categories that began with cohort year 2002, with the exception of Asian or Pacific Islander category which was the term used prior to cohort year 2002."
"For 4-year institutions, 150% of normal time is equivalent to taking 6 years to complete the bachelor?s degree or equivalent."
"This table presents data items collected from Title IV institutions in the United States. Prior to cohort year 2004, the data include only Title IV primarily postsecondary institutions."
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Graduation Rates component 2018 provisional data."
