National Center for Education Statistics
"Average amount of federal student loans received by undergraduate students, by sector of institution and  state: 2017-18"

,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
"Public, 4-year or above","$6,743","$7,224","$6,919","$6,827","$6,032","$6,390","$7,135","$7,260","$6,021","$5,604","$6,189","$6,959","$6,335","$6,747","$6,646","$6,502","$6,896","$6,750","$6,887","$6,843","$7,085","$6,566","$7,000","$6,521","$6,981","$7,827","$6,996","$6,545","$6,413","$6,163","$6,711","$7,009","$6,187","$6,396","$6,492","$6,538","$6,702","$7,314","$6,725","$6,264","$6,836","$6,533","$6,569","$7,125","$6,058","$6,873","$6,520","$6,048","$6,435","$6,814","$6,673"
"Private not-for-profit, 4-year or above","$6,806","$8,129","$6,889","$8,277","$7,629","$8,540","$7,330","$6,659","$6,279","$8,015","$6,683","$6,860","$7,746","$7,925","$7,193","$7,432","$7,816","$6,926","$7,605","$6,791","$6,874","$6,637","$7,676","$7,127","$7,217","$7,453","$6,836","$7,228","$6,782","$7,531","$7,320","$7,549","$5,370","$11,622","$7,013","$7,595","$8,341","$7,374","$7,324","$7,334","$7,441","$7,918","$7,654","$7,401","$4,251","$7,541","$7,070","$7,669","$7,159","$7,564",N/A
"Private for-profit, 4-year or above",N/A,"$7,338","$9,799","$8,579","$8,419","$8,149","$10,598","$10,236","$10,255","$9,379","$9,692","$9,708","$8,319",N/A,"$8,020","$8,222","$6,611","$8,949",N/A,"$8,761","$11,238",N/A,"$9,323","$9,847","$7,408","$10,542",N/A,"$8,262","$9,289","$6,565",N/A,"$9,552","$9,964","$8,702","$7,963","$8,456","$10,437","$7,113","$9,316",N/A,"$10,303","$7,302","$7,667","$8,645","$8,662","$9,452","$11,277","$7,892","$7,764","$8,597",N/A
"Public, 2-year",N/A,"$5,007","$4,706","$4,139","$6,060","$5,765","$4,239",N/A,N/A,"$6,144","$5,105","$5,473","$5,380","$3,982","$4,469","$4,087","$5,279","$5,023","$6,242","$4,489","$5,600","$5,235","$4,558","$6,318","$4,375","$4,624","$5,596","$5,531","$5,558","$4,382","$5,969","$5,133","$4,018",N/A,"$4,939","$4,516","$5,054","$5,407","$5,324","$5,026","$5,173","$6,195","$5,046","$4,993","$3,683","$5,275","$4,465","$5,715","$4,299","$4,262","$5,151"
"Private not-for-profit, 2-year","$4,899",N/A,"$6,771",N/A,"$8,133","$8,680",N/A,"$5,720","$6,044","$6,939","$5,664",N/A,"$7,652",N/A,"$5,254","$6,246",N/A,N/A,"$6,728","$7,884",N/A,"$8,250","$6,508",N/A,"$4,561",N/A,N/A,"$6,164",N/A,"$3,070","$3,974","$8,131",N/A,"$8,479","$5,907","$6,645","$6,559","$8,375","$7,711","$7,635","$5,337","$9,901","$6,520","$6,214","$3,724","$7,708",N/A,"$5,988","$7,605",N/A,N/A
"Private for-profit, 2-year","$7,542","$8,913","$7,753","$6,838","$7,343","$6,871","$7,412","$7,128",N/A,"$6,830","$7,148","$6,669","$6,693","$8,395","$7,170","$7,330","$8,617","$7,492","$7,266","$7,238","$6,895","$6,205","$9,878","$7,131","$7,297","$6,282","$7,428","$6,324","$7,787","$6,894",N/A,"$7,444","$7,039","$7,534","$7,517","$7,160","$7,014","$6,847","$7,422","$10,081","$5,813","$5,484","$6,850","$7,175","$8,225","$8,748",N/A,"$6,336","$7,093","$5,973","$3,844"
"Public, less-than 2-year","$5,444",N/A,N/A,"$3,636","$5,384",N/A,N/A,N/A,"$6,561",N/A,N/A,N/A,N/A,"$5,249","$6,231",N/A,"$5,420",N/A,N/A,"$6,337",N/A,N/A,N/A,N/A,"$6,648",N/A,N/A,N/A,N/A,N/A,N/A,"$4,497",N/A,N/A,"$6,381","$6,218",N/A,N/A,"$6,914",N/A,N/A,N/A,N/A,N/A,N/A,"$5,552",N/A,N/A,N/A,$572,N/A
"Private not-for-profit, less-than 2-year",N/A,"$4,701",N/A,"$3,262","$7,311","$6,452",N/A,N/A,N/A,"$5,986",N/A,N/A,N/A,N/A,"$5,749",N/A,N/A,"$6,065","$2,896",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$2,235",N/A,"$4,939","$7,621","$6,248","$6,825",N/A,"$6,712",N/A,"$5,743",N/A,"$6,142","$7,229",N/A,"$6,208",N/A,"$7,391",N/A,N/A,N/A
"Private for-profit, less-than 2-year",N/A,"$6,698","$6,566","$6,222","$6,877","$5,916","$6,921","$5,040","$6,965","$5,442","$6,430","$6,430","$6,428","$7,231","$6,915","$7,463","$6,996","$7,064","$6,516","$6,285","$4,940","$5,708","$7,135","$6,176","$7,315","$7,694","$5,781","$8,254","$4,494",N/A,"$6,640","$6,538","$6,637","$6,527","$6,697","$7,265","$6,348","$6,381","$6,525","$8,129","$7,119",N/A,"$7,187","$5,905","$6,236","$7,139","$5,996","$6,210","$8,136","$7,887","$5,793"

