State,Public: 4-year or above,Private not-for-profit: 4-year or above, Private for-profit: 4-year or above
Alaska,34%,52%,0%
Alabama,57%,44%,18%
Arkansas,47%,59%,0%
Arizona,63%,58%,25%
California,70%,75%,19%
Colorado,58%,72%,25%
Connecticut,66%,74%,22%
District of Columbia,45%,77%,28%
Delaware,74%,30%,0%
Florida,69%,55%,30%
Georgia,53%,60%,9%
Hawaii,54%,50%,20%
Iowa,73%,64%,28%
Idaho,46%,51%,0%
Illinois,60%,67%,19%
Indiana,61%,69%,20%
Kansas,57%,47%,17%
Kentucky,55%,50%,13%
Louisiana,49%,65%,0%
Massachusetts,65%,79%,51%
Maryland,68%,72%,20%
Maine,51%,74%,0%
Michigan,66%,58%,11%
Minnesota,62%,74%,24%
Missouri,56%,61%,30%
Mississippi,54%,46%,0%
Montana,50%,58%,0%
North Carolina,66%,58%,31%
North Dakota,54%,50%,0%
Nebraska,59%,63%,0%
New Hampshire,68%,65%,0%
New Jersey,70%,67%,35%
New Mexico,44%,46%,47%
Nevada,49%,47%,19%
New York,64%,71%,58%
Ohio,57%,65%,36%
Oklahoma,51%,55%,4%
Oregon,61%,70%,0%
Pennsylvania,65%,73%,23%
Rhode Island,63%,78%,0%
South Carolina,64%,53%,15%
South Dakota,52%,57%,10%
Tennessee,52%,61%,30%
Texas,55%,62%,17%
Utah,47%,66%,54%
Virginia,73%,58%,37%
Vermont,66%,71%,63%
Washington,67%,73%,8%
Wisconsin,64%,67%,13%
West Virginia,50%,43%,31%
Wyoming,57%,0%,0%
